epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
                     34,                0.75256,                0.35023,                0.81787,                0.95047,                0.89906,                0.94493,                0.65383,                 0.7271,                0.35832,                0.63343,             0.00038507,             0.00038507,             0.00038507
                     35,                0.74643,                0.34538,                0.81721,                0.94509,                0.90398,                  0.948,                0.65331,                0.71867,                0.34103,                0.62964,             0.00036307,             0.00036307,             0.00036307
                     36,                0.72532,                0.34019,                0.81352,                0.93848,                0.91021,                0.94511,                0.65713,                0.72123,                0.34811,                0.62989,             0.00034108,             0.00034108,             0.00034108
                     37,                0.71437,                0.33138,                0.81384,                0.94217,                0.91133,                0.94443,                0.65468,                0.71686,                0.33873,                0.63193,             0.00031908,             0.00031908,             0.00031908
                     38,                0.71009,                0.33078,                0.81156,                0.93379,                0.90914,                0.93508,                0.64492,                0.72338,                0.33952,                0.63202,             0.00029708,             0.00029708,             0.00029708
                     39,                0.69168,                0.32123,                0.81094,                0.93807,                0.91189,                0.94219,                0.65176,                0.70989,                 0.3396,                 0.6312,             0.00027508,             0.00027508,             0.00027508
                     40,                0.67687,                0.31699,                0.81002,                0.93512,                0.91518,                0.94096,                0.64911,                0.71592,                0.33714,                0.63427,             0.00025309,             0.00025309,             0.00025309
                     41,                0.66007,                0.30637,                0.81089,                0.94044,                0.91172,                0.93785,                0.64783,                0.72194,                0.36838,                0.63395,             0.00023109,             0.00023109,             0.00023109
                     42,                0.63856,                0.29835,                0.80524,                0.94957,                0.88509,                0.93594,                0.64745,                0.72181,                0.34194,                0.63519,             0.00020909,             0.00020909,             0.00020909
                     43,                0.61813,                0.28883,                0.80104,                0.94397,                0.89751,                0.93826,                0.65069,                 0.7145,                0.34333,                0.63652,             0.00018709,             0.00018709,             0.00018709
                     44,                0.60582,                 0.2855,                0.79997,                0.93142,                0.90704,                0.94047,                0.65403,                0.72087,                0.39936,                0.63597,             0.00016509,             0.00016509,             0.00016509
                     45,                0.58867,                0.27836,                0.79716,                0.95795,                0.88509,                0.94264,                 0.6576,                0.71536,                0.36033,                0.63579,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.5761,                0.27209,                0.79575,                0.94762,                0.89207,                0.94052,                0.65948,                0.71715,                0.34961,                0.63634,              0.0001211,              0.0001211,              0.0001211
                     47,                0.56505,                0.26775,                0.79285,                  0.934,                0.90511,                0.94369,                0.66073,                0.70755,                0.34248,                0.63441,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.54943,                0.26309,                0.79156,                0.95147,                0.88642,                0.94002,                0.65407,                0.71041,                0.34267,                0.63534,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.53698,                0.25674,                0.79291,                0.93856,                0.89778,                0.94038,                0.65699,                0.71159,                0.34409,                0.63693,             5.5106e-05,             5.5106e-05,             5.5106e-05
